TYPE;string;string;float64;float64;string;float64
TUR6;TURBIDITY;milliF.T.U Formaz Turb Unit;0;5000;%6.1f;1e36
MTHS;Th IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MTIP;Ti IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MTIS;Ti IN THE SEDIMENT;%;0;99;%6.3f;1e36
MUUS;U IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
UREA;UREA;millimole/m3;0;5;%5.2f;1e36
MVVS;V IN THE SEDIMENT;ppm;-50;900;%+6.2f;1e36
VERR;VELOCITY ERROR;meter/second;0;90;%6.3f;1e36
VCSP;VERTICAL CURRENT SPEED;meter/second;0;9;%5.3f;1e36
VERT;VERTICAL DISPLACEMENT;meter;0;9999;%8.3f;1e36
VOCP;VOLUME CONC. OF PARTICLES;p.p.m.;0;99;%6.3f;1e36
H2OS;WATER CONTENT;%;0;100;%5.1f;1e36
WDIR;WIND DIRECTION REL. TRUE NORTH;degree;0;360;%+5.1f;1e36
WMSP;WIND SPEED - MAX AVER PER 2 MN;meter/second;0;200;%5.2f;1e36
WSPE;WIND SPEED EASTWARD COMPONENT;meter/second;0;100;%7.3f;1e36
WSPN;WIND SPEED NORTHWARD COMPONENT;meter/second;0;100;%7.3f;1e36
MYYS;Y IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
YEAR;YEAR;yyyy;1900;2020;%4.4d;1e36
